"OBJECTID_1","OBJECTID","SchoolID","County","SchoolName","Address","City","State","Zipcode","Website","SchoolType","coords.x1","coords.x2"
521,521,92097,"Pasquotank","Tender Years School","1092 US Highway 17 South","Elizabeth City","NC",27909,"www.tenderyearschildcareandpreschool.com","Religious",854971.14732773,285001.649769999
522,522,79122,"Lee","Calvary Education Center","P.O. Box 187","Lemon Springs","NC",28355,NA,"Religious",591954.7899573,181943.319798112
523,523,59825,"Montgomery","Family Worship Minist. Chr. Acad.","P.O. Box 454","Troy","NC",27371,"www.fwmchurch.com","Religious",528103.15715382,178811.645706924
524,524,92098,"Pasquotank","Tutor All School","214 Charles Street","Elizabeth City","NC",27909,NA,"Independent",857238.602164624,286348.497326022
525,525,59487,"Lee","Grace Christian School","PO Box 1408","Sanford","NC",27331,"www.gracechristiansanford.com","Religious",594554.786332376,190773.114245858
526,526,59545,"Pasquotank","Victory Christian School","684 Old Hertford Highway","Elizabeth City","NC",27909,"www.victorybaptistministries.com","Religious",851493.56529778,281096.645598838
527,527,59868,"Montgomery","Summit Christian Academy","P.O. Box 280","Troy","NC",27371,NA,"Religious",528103.15715382,178811.645706924
528,528,108118,"Pender","King's Academy","12435 Shaw Highway","Burgaw","NC",28425,NA,"Religious",719187.669919052,96536.473431116
529,529,59518,"Montgomery","Wescare Christian Academy","1368 NC Highway 134 North","Troy","NC",27371,"www.wescarechristianacademy.org","Religious",529846.974623839,182002.950394221
530,530,59664,"Lee","Griffin Academy","488 B Commerce Drive","Sanford","NC",27332,"www.msoskids.org","Independent",598585.252681124,185456.018135162
531,531,142079,"Mecklenburg","Daystar Arising Academy","PO Box 480084","Charlotte","NC",28269,NA,"Religious",446135.807984596,177262.415110243
532,532,66163,"Pender","Life Christian Academy","15965-B US Highway 17 North","Hampstead","NC",28443,"www.receivinglife.org","Religious",729543.974115905,70751.4177503865
533,533,100541,"Mecklenburg","Dream Children School","PO Box 752","Harrisburg","NC",28075,"www.knowledgeispowerinc.org","Independent",459530.22421109,176245.909363236
534,534,59519,"Moore","Calvary Christian School","400 S. Bennett Street","Southern Pines","NC",28387,"www.calvarychristianschool.biz","Religious",573383.244205978,157844.957998313
535,535,59265,"Lee","Lee Christian School","3220 Keller Andrews Road","Sanford","NC",27330,"www.leechristianschool.org","Religious",591112.390957852,189706.931829743
536,536,140028,"Mecklenburg","Einstein School of Charlotte","3307 Rea Road c/o Good Shep. Ch.","Charlotte","NC",28226,NA,"Independent",446313.83465001,152469.00473132
537,537,148623,"Pender","Penderlea Christian Academy","8348 Penderlea Highway","Willard","NC",28478,NA,"Religious",699006.777565316,97929.8879561685
538,538,131567,"Pender","Topsail Montessori School","101 Whitebridge Road","Hampstead","NC",28443,NA,"Independent",726403.83894741,67138.250300793
539,539,143690,"Person","Educ. Ctrs. Acad. for Progressive Lrng.","201 N. Main Street, Suite 112-116","Roxboro","NC",27573,NA,"Religious",611132.389857645,293341.58336382
540,540,85591,"Person","Greenwood Academy","1191 Leasburg Road","Roxboro","NC",27573,NA,"Independent",609052.096193224,292823.213111138
541,541,59488,"Lenoir","Arendell Parrott Academy","P.O. Box 1297","Kinston","NC",28503,"www.parrottacademy.org","Independent",737601.509054182,169163.088055082
542,542,59329,"Moore","Cameron Boys Camp School","P.O. Box 277","Cameron","NC",28326,"www.bchfamily.org","Religious",606785.347536299,167674.73906599
543,543,140414,"Mecklenburg","ELA Christian School","PO Box 560621","Charlotte","NC",28256,NA,"Religious",448998.268598759,171124.902192043
544,544,59489,"Lenoir","Bethel Christian Academy","1936 Banks School Road","Kinston","NC",28504,"www.bcatrojans.com","Religious",732705.0978503,170744.33949702
545,545,59344,"Person","Person Christian School","P.O. Box 1201","Roxboro","NC",27573,NA,"Religious",610885.187317138,293725.082985794
546,546,94482,"Mecklenburg","Epiphany School of Charlotte","1000 E. Morehead Street","Charlotte","NC",28204,"www.theepiphanyschool.com","Religious",441748.314860571,163841.595642429
547,547,59546,"Person","Roxboro Christian Academy","P.O. Box 1357","Roxboro","NC",27573,"www.roxborochristianacademy.org","Religious",610885.187317138,293725.082985794
548,548,59236,"Lenoir","Five Points Education Training Cntr","PO Box 2277","Kinston","NC",28502,"www.novabehavioralhealthcare.com","Independent",737601.509054182,169163.088055082
549,549,115764,"Moore","Covenant Preparatory School","2086 Seven Lakes South","West End","NC",27376,"www.covenantprep.com","Religious",557924.800100662,168989.769407276
550,550,59830,"Person","Zion Christian Academy","2850 Virgilina Road","Roxboro","NC",27574,"www.zionchristiancenter.net","Religious",616073.893863125,296872.109619865
551,551,140187,"Lenoir","Miss Charlie's Child Develop. Center","700 N. East Street","Kinston","NC",28501,NA,"Independent",739171.486914339,169304.204495782
552,552,59520,"Moore","Episcopal Day School","340 E. Massachusetts Avenue","Southern Pines","NC",28387,"www.episcopalday.org","Religious",573901.288389323,157513.97576257
553,553,59233,"Mecklenburg","Evelyn Mack Academy","6850 Monroe Road","Charlotte","NC",28212,"www.theevelynmackacademy.com","Independent",449571.376534184,159316.445720937
554,554,59629,"Pitt","Brookhaven SDA School","4658 Reedy Branch Road","Winterville","NC",28590,NA,"Religious",753363.113381356,199557.995712297
555,555,59547,"Pitt","Calvary Christian Academy","1412 Holbert Street","Greenville","NC",27834,"www.calvarychristianacademygreenville.com","Religious",756731.414053749,210389.74398114
556,556,124651,"Mecklenburg","Faith Baptist Christian School","6840 Wilson Grove Road","Charlotte","NC",28227,NA,"Religious",456392.929903314,161688.660128836
557,557,94488,"Pitt","Children's Montessori School","100 Hungate Dr.","Greenville","NC",27858,NA,"Independent",758499.534615354,202314.544212556
558,558,59820,"Lincoln","Academic Illumination Day School","1953 Cabin Lane","Stanly","NC",28164,"www.patriciaa.com","Independent",425402.077221172,186908.448694477
559,559,85582,"Moore","Faith Baptist Christian Academy","P.O. Box 191","West End","NC",27376,NA,"Religious",557923.252602078,169064.897091042
560,560,135875,"Pitt","Children's World Academy","1525 East Arlington Blvd.","Greenville","NC",27858,NA,"Independent",758249.985391052,203439.949871212
561,561,59763,"Pitt","Christ Covenant School","4889 Old Tar Road","Winterville","NC",28590,"www.christcs.org","Religious",756062.518873747,198502.181292346
562,562,59640,"Mecklenburg","Fletcher School","8500 Sardis Road","Charlotte","NC",28270,"www.thefletcherschool.org","Independent",449592.089570399,154329.027992634
563,563,59326,"Moore","Highland Christian Academy","5587 US Highway 1","Vass","NC",28394,NA,"Religious",579651.762919334,162410.522816528
564,564,134327,"Lincoln","Denver Christian Academy","2243 North Hwy 16","Denver","NC",28037,NA,"Religious",428285.476718756,196192.808974637
565,565,59231,"Pitt","Community Christian Academy","2009 Pactolus Road","Greenville","NC",27834,"www.greenvillecommunitychristian.com","Religious",760187.099383141,209402.510630986
566,566,140186,"Pitt","Deeper Life Academy","7465 Pitt Street","Grimesland","NC",27837,NA,"Religious",773130.552139082,202851.013115641
567,567,100540,"Mecklenburg","Francis Elementary School","1717 Sharon Road West","Charlotte","NC",28210,"www.elonhomes.org","Independent",438852.676856553,153356.119528158
568,568,59665,"Lincoln","Long Shoals Wesleyan Academy","3032 Wesleyan Church Road","Lincolnton","NC",28092,"www.longshoalsacademy.com","Religious",406599.484926344,187284.411534769
569,569,104412,"Moore","Jackson Springs Treatment Facility","778 Hoffman Road","West End","NC",27376,"www.ncprtf.com","Independent",558604.115752853,161904.976231238
570,570,66165,"Pitt","Faith Christian Academy","5005 Corey Road","Winterville","NC",28590,"www.faith-assembly.org","Religious",757920.782490055,199609.060315179
571,571,92095,"Moore","Longleaf Academy","600 Valley View Road","Southern Pines","NC",28387,"www.longleafacademy.com","Independent",576720.407026014,160625.589146638
572,572,85579,"Macon","Macon County Juvenile School","1950 Lakeside Drive","Franklin","NC",28734,"www.mhfc.org","Religious",211754.038098627,169111.57431272
573,573,59548,"Pitt","Greenville Christian Academy","1621 Greenville Blvd., S.W.","Greenville","NC",27834,"www.greenvillechristian.com","Religious",752456.789455747,203647.900835302
574,574,59521,"Moore","O'Neal School","P.O. Box 290","Southern Pines","NC",28388,"www.onealschool.org","Independent",573776.110622836,157960.626967521
575,575,59300,"Macon","Trimont Christian Academy","98 Promise Lane","Franklin","NC",28734,"www.trimont-academy.org","Religious",209113.603934525,166599.282960529
576,576,59549,"Pitt","Greenville Montessori School","822 Laurie Ellis Road","Winterville","NC",28590,"www.greenvillemontessori.com","Independent",756759.024999527,197307.776640469
577,577,85580,"Madison","Little Ivy Baptist Academy","1053 Crossroads Parkway","Mars Hill","NC",28754,NA,"Religious",290477.012764999,236024.501248082
578,578,59760,"Moore","Sandhills Classical Christian Sch.","P.O. Box 2600","Southern Pines","NC",28388,"www.sandhillsccs.org","Religious",573776.110622836,157960.626967521
579,579,94489,"Pitt","Ingram Christian Academy","502 Dexter Street Ste. B","Greenville","NC",27834,NA,"Religious",754862.152136149,203849.123545909
580,580,60282,"Madison","Wolf Creek Academy","P.O. Box 2001","Mars Hill","NC",28754,"www.wolfcreekacademy.org","Religious",293692.712042662,251027.998858429
581,581,59628,"Pitt","Oakwood School","4000 MacGregor Downs Road","Greenville","NC",27834,"www.theoakwoodschool.org","Independent",750007.492882118,208602.077399092
582,582,85593,"Pitt","Open Door School","4584 Reedy Branch Road","Winterville","NC",28590,"www.go2odm.com","Religious",753415.745075269,199842.819149034
583,583,59294,"Moore","Solid Rock Christian School","311 East Maple Street","Aberdeen","NC",28315,NA,"Religious",571066.481142961,153468.396581102
584,584,98027,"Pitt","Pope John Paul II Catholic H. S.","2725 E. 14th Street","Greenville","NC",27858,"www.jp2highschool.com","Religious",759846.740444281,203482.644331561
585,585,143571,"Madison","Woodson Branch Nature School","14555 US Hwy 25/70","Marshall","NC",28753,NA,"Independent",271286.185969806,244895.041172134
586,586,59826,"Moore","St. John Paul II Catholic School","2922 Camp Easter Rd.","Southern Pines","NC",28387,"www.sjp2catholicschool.org","Religious",575017.890918766,162352.584797069
587,587,115839,"Pitt","Reimage Child Development Center","3950 Victory Lane","Winterville","NC",28590,NA,"Religious",754849.825480693,200775.173818158
588,588,59491,"McDowell","Marion Christian Academy","P.O. Box 1045","Marion","NC",28752,"www.marionchristian.org","Religious",337624.465777437,218813.694695404
589,589,79138,"Pitt","Roseleaf Academy","P.O. Box 296","Farmville","NC",27828,NA,"Religious",737644.606514138,205639.382977547
590,590,79125,"Mecklenburg","Friends School of Charlotte","7001 Wallace Lane, Suite 400","Charlotte","NC",28212,"www.friendsschoolofcharlotte.org","Religious",449984.087649168,159589.986657217
591,591,108115,"Moore","Village Children's House School","4212 Murdocksville Rd.","West End","NC",27376,NA,"Independent",566173.219722864,162059.765389046
592,592,120831,"McDowell","Nebo Crossing Academy","961 Harmony Grove Road","Nebo","NC",28761,NA,"Religious",346014.401526344,220490.735349981
593,593,59550,"Pitt","St. Peter's Catholic School","2606 East 5th Street","Greenville","NC",27858,"www.stpeterscatholicschool.com","Religious",759784.268427724,207147.621431507
594,594,59821,"Mecklenburg","Grace Covenant Academy","17301 Statesville Road","Cornelius","NC",28031,"www.gracecovenant.org","Religious",440135.320222665,190224.216106629
595,595,129726,"Pitt","Stroke of Faith Academy","2872 NC Hwy 118","Grifton","NC",28530,"www.strokeoffaith.org","Religious",760586.606127012,179315.449408276
596,596,59235,"McDowell","New Manna Christian School","P.O. Box 1085","Marion","NC",28752,"www.newmannachristianschool.com","Religious",337624.465777437,218813.694695404
597,597,60289,"Nash","Cornerstone Christian Academy","1481 Beechwood Drive","Rocky Mount","NC",27803,"www.cornerstoneibc.com","Religious",713708.895977384,241828.765842274
598,598,129917,"Pitt","Third Street Academy","600 W. Third Street","Greenville","NC",27834,NA,"Religious",756331.500995891,208034.982203243
599,599,59551,"Pitt","Trinity Christian School","3111 Golden Road","Greenville","NC",27858,"www.trinitychristian-school.com","Religious",759923.149575805,206010.286177481
600,600,59552,"Polk","Tryon SDA School","2820 Lynn Road","Tryon","NC",28782,"www.tryonsdaschool.org","Religious",315028.700350036,168662.883256664
601,601,66155,"Mecklenburg","Access Academy","P.O. Box 19649","Charlotte","NC",28214,"www.accessfamilyservices.com","Independent",431844.659246255,169846.337171551
602,602,59299,"Nash","Englewood Bapt. Weekday Sch.","1350 S. Winstead Avenue","Rocky Mount","NC",27803,NA,"Religious",713491.414969841,244263.526817525
603,603,92086,"Mecklenburg","Greyfriars Classical Academy","2701 Rice Road","Matthews","NC",28105,"www.greyfriarsca.net","Religious",454405.532953578,155457.836492401
604,604,79139,"Randolph","Agape Christian Academy","1627 Browers Chapel Road","Asheboro","NC",27205,"www.agapechristianacad.com","Religious",539291.154473041,215092.171430994
605,605,59289,"Nash","Faith Christian School","1333 Faith Christian Drive","Rocky Mount","NC",27803,"www.fcspatriots.org","Religious",713930.818441228,242463.364400294
606,606,59492,"Mecklenburg","Adventist Christian Academy","4601 Emory Lane","Charlotte","NC",28211,"www.adventisechristianacademy.org","Religious",446803.295933518,159928.769722464
607,607,101698,"Randolph","Bailey's Grove Baptist School","622 Pleasant Cross Rd.","Asheboro","NC",27203,NA,"Religious",544412.517855698,220465.875099184
608,608,59831,"Randolph","Calvary Christian Academy","1424 Highway 42 South","Asheboro","NC",27205,"www.cpcasheboro.org","Religious",540177.038877258,214682.060906192
609,609,59493,"Mecklenburg","Alexander Children's Center","6220 Thermal Road","Charlotte","NC",28211,"www.alexanderyouthnetwork.org","Independent",449663.451896737,157828.887739502
610,610,59522,"Nash","Falls Road Bapt. Church Sch.","113 Trevathan Street","Rocky Mount","NC",27804,"www.fallsroadbaptist.org","Religious",717845.040643058,245043.593766693
611,611,59639,"Mecklenburg","Hickory Grove Christian School","7200 E. W.T. Harris Blvd","Charlotte","NC",28215,"www.hgchristian.org","Religious",452639.875641842,164638.766240492
612,612,117124,"Randolph","Colonial Child Care Center","6792 Welborn Rd.","Trinity","NC",27370,NA,"Religious",517703.539277632,234836.323007051
613,613,92099,"Randolph","Emmanuel Day School","P.O. Box 1263","Randleman","NC",27317,"www.emmanueldayschool.webs.com","Religious",537018.350873852,229589.387848252
614,614,59494,"Mecklenburg","Anami Montessori School","2901 Archdale Drive","Charlotte","NC",28210,"www.anamimontessori.org","Independent",440651.915909388,156579.243614752
615,615,59703,"Nash","First United Methodist Kindergarten","100 South Church Street","Rocky Mount","NC",27804,"www.fumcrm.org","Religious",718126.015360296,243871.663315993
616,616,59553,"Randolph","Faith Christian School","5449 Brookhaven Road","Ramseur","NC",27316,"www.faithramseur.org","Religious",552438.450490302,217397.216239493
617,617,59755,"Mecklenburg","Back Creek Christian Academy","1827 Back Creek Church Road","Charlotte","NC",28213,"www.bccaschool.org","Religious",454007.236967633,174328.881743124
618,618,59626,"Nash","Mount Zion Christian Academy","P.O. Box 2502","Rocky Mount","NC",27802,"www.mzccrockymount.org","Religious",719099.534648234,243792.056415034
619,619,59496,"Mecklenburg","Berean Junior Academy","3748 N. Beatties Ford Rd","Charlotte","NC",28216,"www.bereanjunioracademy.org","Religious",440579.949806918,171972.816011781
620,620,92100,"Randolph","Farmer Christian Academy","4751 Dunbar Bridge Road","Asheboro","NC",27205,"www.farmerchristianacademy.com","Religious",521196.150295609,211560.127152881
621,621,108116,"Nash","New Life Christian Academy","812 Instrument Drive","Rocky Mount","NC",27804,"www.newlifeacademyrm.com","Religious",719305.827832736,250647.662122248
622,622,59625,"Mecklenburg","Holy Trinity Catholic Middle School","3100 Park Road","Charlotte","NC",28209,"www.htcms.org","Religious",440856.549719482,161162.603128102
623,623,59554,"Randolph","Fayetteville Street Christian School","151 W. Pritchard Street","Asheboro","NC",27203,"www.fscspatriots.org","Religious",536070.421413716,218566.569731116
624,624,59555,"Randolph","Level Cross Christian School","10169 US Hwy 220 Bus. N","Randleman","NC",27317,"www.lccseagles.com","Religious",536696.092260239,237454.917264247
625,625,95584,"Mecklenburg","Bethune Mays Classical Academy","800 Briar Creek Rd, Suite DD400","Charlotte","NC",28205,NA,"Independent",445741.621298186,163092.99465554
626,626,59523,"Nash","Our Lady Perpetual Help Cath Sch","315 Hammond Street","Rocky Mount","NC",27804,"www.olphrm.com","Religious",717825.141818292,243494.125403643
627,627,59459,"Randolph","Mount Calvary Christian School","6551 Weant Road","Archdale","NC",27263,NA,"Religious",525725.197838308,239799.909424901
628,628,59706,"Randolph","Neighbors Grove Christian Academy","1928 N. Fayetteville Street","Asheboro","NC",27203,"www.neighborsgrove.com","Religious",536760.290620751,222281.025222428
629,629,59497,"Mecklenburg","Bible Baptist Christian School","2724 Margaret Wallace Road","Matthews","NC",28105,"www.bbcscolts.com","Religious",452006.667595476,157836.881909721
630,630,94484,"Nash","Praise City Christian Academy","PO Box 1973","Rocky Mount","NC",27802,NA,"Religious",719099.534648234,243792.056415034
631,631,94490,"Randolph","New Life Baptist Academy","1068 Worthville Rd.","Randleman","NC",27317,NA,"Religious",538782.067367912,227660.108036444
632,632,140521,"Mecklenburg","Intellicor International Academy","4301 Shamrock Drive","Charlotte","NC",28215,NA,"Religious",450189.173476605,165529.491078852
633,633,135527,"Randolph","Trinity Christian School","5017 Plainfield Road","Sophia","NC",27350,NA,"Religious",533432.54493662,229321.936258964
634,634,129125,"Mecklenburg","Kent Academy","1819 Charlotte Drive","Charlotte","NC",28203,NA,"Independent",441550.656188214,162608.862009395
635,635,96648,"Mecklenburg","Blessed Beginnings Learning Academy","5910 Red Carriage Lane","Charlotte","NC",28212,NA,"Religious",451664.682114386,161650.960594177
636,636,59832,"Randolph","Youth Unlimited School","P.O. Box 485","High Point","NC",27261,"www.youthunlimited.cc","Independent",519392.544366054,244979.479908677
637,637,59524,"Nash","Rocky Mount Academy","1313 Avondale Avenue","Rocky Mount","NC",27803,"www.rmacademy.com","Independent",713940.912973946,244332.381394191
638,638,92113,"Richmond","Hamlet Presbyterian Weekday School","200 Rice Street","Hamlet","NC",28345,"www.sites.google.com/site/1stpresbyterianweekdaysc","Religious",545327.93832633,126365.733021399
639,639,94485,"Nash","St. Andrew's Espiscopal School","301 Circle Drive","Rocky Mount","NC",27804,"www.saint-andrews-church.org","Religious",714849.797705715,245844.238748904
640,640,59833,"Richmond","Outreach Christian Academy","440 Battley Dairy Road","Hamlet","NC",28345,NA,"Religious",541802.575972254,125174.492427263
641,641,95325,"Richmond","Richmond County Faith Academy","755 N. US 220 Highway","Rockingham","NC",28379,NA,"Religious",538110.68792106,136492.447721524
642,642,108117,"New Hanover","Access Academy Wilmington","725 Wellington Avenue","Wilmington","NC",28401,NA,"Independent",708027.886615339,49912.6445054095
643,643,59834,"Richmond","Rockingham Christian Academy","178 McDonald Church Road","Rockingham","NC",28379,NA,"Religious",547011.806680098,135061.133711435
644,644,59276,"New Hanover","Calvary Christian School","423 North 23rd Street","Wilmington","NC",28405,"www.calvarychristianwilmington.com","Religious",709083.105870161,55420.0958707388
645,645,59790,"Mecklenburg","Keys of Carolina School","1715 Sharon Road West","Charlotte","NC",28210,"www.thekeysofcarolina.com","Independent",438815.079564472,153345.708130833
646,646,79140,"Richmond","Second Baptist Christian Academy","518 Fourth Street","Hamlet","NC",28345,"www.2ndbaptisthamlet.org/daySchool.asp","Religious",546785.110804073,125822.328719776
647,647,59525,"New Hanover","Cape Fear Academy","3900 S. College Road","Wilmington","NC",28412,"www.capefearacademy.org","Independent",711806.605940753,47228.9151396528
648,648,59319,"New Hanover","Children's Schoolhouse","612 South College Road","Wilmington","NC",28403,"www.childrensschoolhouse.org","Independent",712746.14453089,53347.2612710223
649,649,59263,"Richmond","Southeastern Christian Academy","257 Freeman Mill Rd","Hamlet","NC",28345,NA,"Religious",542482.663547299,126821.048060745
650,650,72636,"New Hanover","Coastal Christian High School","1150 The King's Highway","Wilmington","NC",28409,"www.coastalchristian.net","Religious",712008.679031453,43124.2554451097
651,651,94591,"Rowan","Tools for Success Academy","505 West Franklin Street","Salisbury","NC",28144,NA,"Independent",476602.233562418,214610.563416518
652,652,59556,"Richmond","Temple Christian School","165 Airport Road","Rockingham","NC",28379,"www.temple-tigers.com","Religious",538701.865214912,130631.714184487
653,653,115771,"Mecklenburg","Kiddie Academy of Charlotte","9310 Blakeney Center Drive","Charlotte","NC",28277,"kiddieacademy.com","Independent",444523.958730721,143687.625540707
654,654,72644,"Robeson","Antioch Christian Academy","5071 Old Whiteville Road","Lumberton","NC",28358,"www.antiochgators.com","Religious",617055.559973598,91566.6302096043
655,655,59526,"New Hanover","Ephesus Junior Academy","1002 Castle Street","Wilmington","NC",28401,"www.ephesussdawilmington.org","Religious",707674.783551835,53634.7691877726
656,656,59275,"Rowan","Uwharrie Learning Center","P.O. Box 259","Gold Hill","NC",28071,"www.trtc.net","Independent",487998.560002332,197619.199806888
657,657,59872,"Robeson","Created for You Learning Academy","PO Box 148","Red Springs","NC",28377,NA,"Independent",592981.436489913,118033.780772626
658,658,59232,"New Hanover","Friends School","350 Peiffer Avenue","Wilmington","NC",28409,"www.fsow.org","Religious",715990.437778043,50938.1671524141
659,659,103548,"Robeson","Crossroads Treatment Center","703-A West Third Avenue","Red Springs","NC",28377,"www.ncprtf.com","Independent",592085.451286428,118178.015954006
660,660,79127,"Mecklenburg","Kids R Kids School","6250 Blakeney Park Drive","Charlotte","NC",28277,"www.krkacademy.com","Independent",444533.025024674,143333.351516819
661,661,59837,"Rutherford","Anath Christian Academy","PO Box 247","Union Mills","NC",28167,NA,"Religious",339166.368713206,195889.735238867
662,662,59835,"Robeson","Friendship Baptist Academy","P.O. Box 133","Saint Pauls","NC",28384,NA,"Religious",612194.21320237,117017.569615548
663,663,143252,"Mecklenburg","Kidville Kovar Child Development Center","2624 Milton Road","Charlotte","NC",28215,NA,"Independent",450692.710979702,166420.253681468
664,664,85594,"Robeson","Future Innovations Academy","703 West 3rd Avenue","Red Springs","NC",28377,"www.futureinnv.com","Independent",592085.451286428,118178.015954006
665,665,79141,"Robeson","Grace Christian Academy","950-A Linkhaw Road","Lumberton","NC",28358,"www.gracechristianlumberton.com","Religious",610056.725307752,99176.0825452842
666,666,94486,"New Hanover","Hill School of Wilmington","3240 Burnt Mill Dr, Ste 9A","Wilmington","NC",28403,"www.hillschoolofwilmington.org","Independent",710781.628272839,53941.95217067
667,667,137013,"Mecklenburg","Kidz Place Academy","7008 - 7 E W.T. Harris Blvd","Charlotte","NC",28215,NA,"Independent",452598.93225235,164783.294009943
668,668,100550,"Robeson","H.O.P.E. Christian Academy","369 Wagon Wheel Road","Shannon","NC",28386,NA,"Religious",600505.654685877,120062.9802217
669,669,79145,"Rutherford","Carey Christian Academy","910 Piney Ridge Road","Forest City","NC",28043,NA,"Religious",346353.41451893,178781.941600645
670,670,59557,"Robeson","Highlander Academy","200 N. College Street","Red Springs","NC",28377,NA,"Independent",593300.430525745,118387.579490924
671,671,127904,"Robeson","Kingdom Performance Arts Chr","137 Meadowcroft Dr","Fayetteville","NC",28311,NA,"Religious",620842.547062232,152652.592216067
672,672,96298,"Robeson","Majestic Christian Academy","129 E. 3rd Avenue","Red Springs","NC",28377,NA,"Religious",592963.403697586,118296.499115607
673,673,94487,"New Hanover","Joshua Academy","4704 S. College Rd.","Wilmington","NC",28412,"www.joshuaacademywilmington.com","Religious",711767.021121994,45488.9750253987
674,674,124655,"Rutherford","Faith Academy","PO Box 987","Forest City","NC",28043,NA,"Religious",349154.179532349,179436.096432945
675,675,138068,"Mecklenburg","Kidz Place Academy - Badger","1240 Badger Court","Charlotte","NC",28206,NA,"Religious",442425.326769428,168340.162768919
676,676,94491,"Robeson","Mind and Soul School","5973 McLeod Drive","Maxton","NC",28364,NA,"Independent",579563.046177488,101977.945162944
677,677,59709,"Rutherford","Freedom Academy","P.O. Box 729","Ellenboro","NC",28040,NA,"Religious",358863.262467514,178714.354786437
678,678,59527,"New Hanover","Learning Foundations School","3801 Wilshire Boulevard","Wilmington","NC",28403,"www.amybradleyschool.com","Independent",711502.189299287,53002.4375670459
679,679,59301,"Robeson","Mount Zion Christian Academy","9709 NC Highway 72 West","Pembroke","NC",28372,NA,"Religious",594783.45585452,107927.529851595
680,680,59345,"New Hanover","Myrtle Grove Christian School","806 Piner Road","Wilmington","NC",28409,"www.mgcs.org","Religious",712310.775570517,43481.8223611843
681,681,92116,"Rutherford","Glenwood Christian Academy","461 Bostic-Sunshine Highway","Bostic","NC",28018,NA,"Religious",351869.635267364,180439.35659162
682,682,103547,"Robeson","New Haven Treatment Center","703-B West 3rd Avenue","Red Springs","NC",28377,"www.ncprtf.com","Independent",592085.451286428,118178.015954006
683,683,79142,"Robeson","Omega Christian Academy","P.O. Box 2745","Lumberton","NC",28359,NA,"Religious",609182.457562303,96684.8114027102
684,684,59558,"Robeson","Riverside Christian Academy","3644 US Highway 74 West","Lumberton","NC",28360,NA,"Religious",594774.220001656,96955.5994478874
685,685,59794,"Rutherford","Liberty Christian Academy","1071 S. Broadway St.","Forest City","NC",28043,"www.lcaclassical.com","Religious",349700.582087126,176531.873545403
686,686,59283,"Robeson","Robeson Multi-Purpose Juvenile Sch","210 Legend Road","Lumberton","NC",28358,NA,"Religious",604697.292883459,92796.1226172782
687,687,59528,"New Hanover","New Horizons Elem. School","3705 South College Road","Wilmington","NC",28412,"www.newhorizonselementary.org","Independent",711838.672640026,47629.4620505013
688,688,118567,"Rutherford","New Beginnings Christian School","6495 Hudlow Road","Union Mills","NC",28167,NA,"Religious",340325.713081519,197184.227252161
689,689,66164,"New Hanover","Noah's Ark Children's Center","1501 Beasley Road","Wilmington","NC",28409,NA,"Religious",714491.134769071,48472.5275219306
690,690,92087,"Mecklenburg","King's Academy","2022 W. Sugar Creek Road","Charlotte","NC",28262,"www.thekingsacademycharlotte.org","Independent",446233.176005747,172473.135136303
691,691,59334,"Rutherford","Pine Ridge Mennonite School","1010 Elliott Road","Rutherfordton","NC",28139,NA,"Religious",334055.939369146,193547.863788109
692,692,120014,"New Hanover","Oasis Day School","3114 Randall Parkway Suite 4","Wilmington","NC",28403,"www.oasisnc.org","Independent",710645.067799598,53733.6912189014
693,693,59318,"Robeson","Southeastern Academy","12251 NC Highway 41 North","Lumberton","NC",28358,"www.southeasternacademy.org","Independent",621294.482672374,99991.2324038334
694,694,79132,"New Hanover","Pathways Mid. & Hgh. School","3110-1 Randall Parkway","Wilmington","NC",28403,"www.academyofexcellence.co","Religious",710592.942011085,53734.3914195728
695,695,59568,"Rutherford","Trinity Christian School","299 Deter Street","Rutherfordton","NC",28139,"www.trinityschoolnc.com","Religious",341429.643322396,184846.181461193
696,696,92114,"Robeson","Stars Youth Academy","P.O. Box 1231","Lumberton","NC",28358,NA,"Independent",609025.212102498,97100.4122140631
697,697,108849,"New Hanover","Peace Rose Montessori School","2173 Wrightsville Ave.","Wilmington","NC",28403,"www.peacerose.org","Independent",709169.855621217,53537.1386857312
698,698,59325,"Rutherford","Word of Faith Christian Sch.","207 Old Flynn Road","Spindale","NC",28160,NA,"Religious",343898.484255646,180458.006969038
699,699,103227,"Mecklenburg","Knowledge is Power Early Lrng Prog","PO Box 752","Harrisburg","NC",28075,"www.knowledgeispowerinc.org","Independent",459530.22421109,176245.909363236
700,700,59761,"New Hanover","Pine Valley Wee Care Kindergarten","3788 Shipyard Boulevard","Wilmington","NC",28403,"www.pvumcweecare.com","Religious",710719.866025444,50094.7030226719
701,701,59335,"Robeson","United Pentecostal Chr. Sch.","P.O. Box 368","Red Springs","NC",28377,NA,"Religious",592981.436489913,118033.780772626
702,702,85581,"Mecklenburg","Lake Norman Christian School","PO Box 4267","Davidson","NC",28036,"www.lknc.org","Religious",441172.490771098,195864.731086692
703,703,85590,"New Hanover","Point Institute","4714 College Acres Drive","Wilmington","NC",28403,"www.pointinstitutewilmington.org","Independent",713223.382035566,53959.0763280969
704,704,79143,"Rockingham","Amazing Grace Baptist School","4530 NC 135","Stoneville","NC",27048,NA,"Religious",531466.779420906,298809.483317912
